ID,Location,address,maps,contact,contact2,contact3
Store ID: T165,100 Feet Road Karaikudi,"143/2 and 143/3, 100 Feet Road , Opposite Corner Bakery, Karaikudi, 630001, India","http://maps.google.com/maps?saddr=&daddr=143/2%20and%20143/3,%20100%20Feet%20Road%20,%20Opposite%20Corner%20Bakery,%20Karaikudi,%20630001,%20India",04565 400 886,tel:04565 400 886,tel:
Store ID: K137,"7th Phase JP Nagar, Bengaluru","4,7, MN Complex, No. 3, RBI Layout Main Rd, near Samrudhi Jewellers, JP Nagar 7th Phase, Bengaluru, Karnataka 560078","http://maps.google.com/maps?saddr=&daddr=4,7,%20MN%20Complex,%20No.%203,%20RBI%20Layout%20Main%20Rd,%20near%20Samrudhi%20Jewellers,%20JP%20Nagar%207th%20Phase,%20Bengaluru,%20Karnataka%20560078",072000 93614,tel:072000 93614,tel:+919791597915
Store ID: T066,"Adambakkam, Chennai","No. 44 /1 (Plot No. 31), Kakkan Nagar, 1st Cross Street, Velachery, Opp To Vodafone Store, Chennai, 600042, India","http://maps.google.com/maps?saddr=&daddr=No.%2044%20/1%20(Plot%20No.%2031),%20Kakkan%20Nagar,%201st%20Cross%20Street,%20Velachery,%20Opp%20To%20Vodafone%20Store,%20Chennai,%20600042,%20India",096000 05112,tel:096000 05112,tel:+919791597915
Store ID: T153,"Alagapuram Periyaputhur, Salem","No: 1/1, Saradha College Road,, Salem, 636004, India","http://maps.google.com/maps?saddr=&daddr=No:%201/1,%20Saradha%20College%20Road,,%20Salem,%20636004,%20India",0427 496 1165,tel:0427 496 1165,tel:
Store ID: T060,"Alwarpet, Chennai","Shop.no.73/4,, kalpataru complex, Sir.C.P Ramasamy road, Alwarpet, Chennai, 600018, India","http://maps.google.com/maps?saddr=&daddr=Shop.no.73/4,,%20kalpataru%20complex,%20Sir.C.P%20Ramasamy%20road,%20Alwarpet,%20Chennai,%20600018,%20India",044 4793 7769,tel:044 4793 7769,tel:
Store ID: T097,"Alwarthirunagar, Chennai","No.173/4, RA Complex, Arcot Road, Alwar Thiru Nagar, Valasarvakkam, Chennai, 600087, India","http://maps.google.com/maps?saddr=&daddr=No.173/4,%20RA%20Complex,%20Arcot%20Road,%20Alwar%20Thiru%20Nagar,%20Valasarvakkam,%20Chennai,%20600087,%20India",044 4215 5964,tel:044 4215 5964,tel:+919791597915
Store ID: T051,"Aminjikarai, Chennai","New No 544, Old No 693, Poonamallee High Road, Aminjikarai, Chennai, 600029, India","http://maps.google.com/maps?saddr=&daddr=New%20No%20544,%20Old%20No%20693,%20Poonamallee%20High%20Road,%20Aminjikarai,%20Chennai,%20600029,%20India",044 4553 8223,tel:044 4553 8223,tel:919791597915
Store ID: T203,"Anna Nagar, Chengalpattu","No-10, GF, Chengalpattu Main Rd, near Reliance Trends, Anna Nagar, Chengalpattu, Ammanambakkam, Tamil Nadu 603001","http://maps.google.com/maps?saddr=&daddr=No-10,%20GF,%20Chengalpattu%20Main%20Rd,%20near%20Reliance%20Trends,%20Anna%20Nagar,%20Chengalpattu,%20Ammanambakkam,%20Tamil%20Nadu%20603001",044 4765 3344,tel:044 4765 3344,tel:+919791597915
Store ID: T164,"Anna Nagar, Chennai","No.9/4, Ground & First Floor, 3Rd Avenue, A Block, Kumaran Nagar, Near Icici Bank And Viveks, Anna Nagar, Chennai, 600040, India","http://maps.google.com/maps?saddr=&daddr=No.9/4,%20Ground%20&%20First%20Floor,%203Rd%20Avenue,%20A%20Block,%20Kumaran%20Nagar,%20Near%20Icici%20Bank%20And%20Viveks,%20Anna%20Nagar,%20Chennai,%20600040,%20India",044 4354 0659,tel:044 4354 0659,tel:
Store ID: T002,"Anna Nagar East, Chennai","No. F-25, Ranga Plaza, 2nd Ave, opposite Titan World, Block F, Annanagar East, Chennai, Tamil Nadu 600102","http://maps.google.com/maps?saddr=&daddr=No.%20F-25,%20Ranga%20Plaza,%202nd%20Ave,%20opposite%20Titan%20World,%20Block%20F,%20Annanagar%20East,%20Chennai,%20Tamil%20Nadu%20600102",044 4358 9293,tel:044 4358 9293,tel:+919791597915
